Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-02-05,Suicide Squad,2016,https://boxd.it/cZCmtF,0.5,,,1919-05-19
2025-11-07,Spider-Man,2002,https://boxd.it/bCJvq5,3,,,2005-11-18
2025-11-07,Spider-Man 2,2004,https://boxd.it/bCJxnn,3,,,2005-11-19
2025-11-07,Spider-Man 3,2007,https://boxd.it/bCJzW5,3,,,2005-11-20
2025-11-07,Night at the Museum,2006,https://boxd.it/bCK4wd,3,,,2006-08-25
2025-10-15,Despicable Me,2010,https://boxd.it/bn5b8F,3.5,,,2010-12-30
2025-11-07,X-Men: The Last Stand,2006,https://boxd.it/bCKmaT,3,,,2012-02-22
2025-11-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/bCJHMn,3,,,2013-07-09
2025-11-07,Alvin and the Chipmunks,2007,https://boxd.it/bCKhQb,2.5,,,2015-02-11
2025-11-07,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/bCJXRt,3,,,2015-09-16
2025-11-07,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/bCJVOx,3,,,2015-11-03
2025-11-07,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/bCJVdh,2.5,,,2015-11-04
2025-11-07,Harry Potter and the Goblet of Fire,2005,https://boxd.it/bCJWu9,2.5,,,2015-12-10
2025-11-07,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/bCJWRx,2.5,,,2015-12-11
2025-11-07,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/bCJXnt,2.5,,,2015-12-18
2025-11-07,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/bCJYx5,3,,,2015-12-31
2025-11-07,Cloudy with a Chance of Meatballs,2009,https://boxd.it/bCKrXL,3,,,2016-02-18
2025-11-07,Up,2009,https://boxd.it/bCJSKd,3,,,2016-07-04
2025-11-07,Ratatouille,2007,https://boxd.it/bCJRpt,3,,,2016-07-16
2025-11-07,Madagascar,2005,https://boxd.it/bCKeYh,3.5,,,2016-11-25
2025-11-07,Jumanji,1995,https://boxd.it/bCJNnX,3.5,,,2017-01-03
2025-11-07,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/bCKiZj,2,,,2017-01-03
2025-11-09,In Time,2011,https://boxd.it/bDOw9N,2.5,,,2017-07-03
2025-11-02,Coco,2017,https://boxd.it/bzLTv1,3.5,,,2017-12-22
2025-11-14,The Secret Life of Pets,2016,https://boxd.it/bHYKNj,2,,,2018-05-09
2025-11-07,The Amazing Spider-Man,2012,https://boxd.it/bCJCdn,2.5,,,2018-11-01
2025-11-07,X-Men,2000,https://boxd.it/bCKkxL,3.5,,,2018-11-16
2025-11-07,Bee Movie,2007,https://boxd.it/bCKdhr,2,,,2018-12-04
2025-11-03,Hereditary,2018,https://boxd.it/bA9gkV,3.5,,,2018-12-24
2025-10-15,"Monsters, Inc.",2001,https://boxd.it/bn5DnN,3,,,2019-01-10
2025-11-07,Man of Steel,2013,https://boxd.it/bCKqjv,3.5,,,2019-02-06
2025-11-07,Alvin and the Chipmunks: Chipwrecked,2011,https://boxd.it/bCKjzV,2.5,,,2019-02-14
2025-10-15,Wreck-It Ralph,2012,https://boxd.it/bn59OJ,3,,,2019-06-06
2025-11-07,Diary of a Wimpy Kid,2010,https://boxd.it/bCKawX,2,,,2019-06-14
2025-11-07,Maleficent,2014,https://boxd.it/bCJJnT,3,,,2019-10-14
2025-11-07,The Amazing Spider-Man 2,2014,https://boxd.it/bCJD9L,3.5,,,2019-11-07
2025-11-27,Monster House,2006,https://boxd.it/bQSFsf,2.5,,,2019-11-14
2025-11-07,X2,2003,https://boxd.it/bCKlev,3,,,2020-01-07
2025-12-18,Who Am I,2014,https://boxd.it/c5WsUj,2,,,2020-11-11
2025-11-24,Final Space,2016,https://boxd.it/bOnwxb,,,,2020-11-13
2025-10-15,Rango,2011,https://boxd.it/bn5zBV,3.5,,,2021-01-09
2025-11-28,Ready Player One,2018,https://boxd.it/bRhPaF,1.5,,,2021-04-14
2025-11-07,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/bCKgt1,2.5,,,2021-07-06
2025-11-23,Basic Instinct,1992,https://boxd.it/bNZBkX,3.5,,,2021-08-02
