Date,Name,Year,Letterboxd URI,Rating
2022-08-20,The Basketball Diaries,1995,https://boxd.it/1WaO,4.5
2022-08-20,The Seventh Seal,1957,https://boxd.it/2ahO,5
2022-08-20,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2022-08-20,V for Vendetta,2005,https://boxd.it/29Ik,4
2022-08-20,Perfume: The Story of a Murderer,2006,https://boxd.it/28LW,4
2024-07-05,La Haine,1995,https://boxd.it/2as8,5
2024-07-05,The Face of Another,1966,https://boxd.it/1nso,5
2024-07-11,Good Will Hunting,1997,https://boxd.it/2ahY,4
2024-07-11,Ikiru,1952,https://boxd.it/251c,5
2024-08-10,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2024-08-15,The Wolverine,2013,https://boxd.it/2CWU,3.5
2024-08-15,The Pale Blue Eye,2022,https://boxd.it/u8tk,4
2024-09-03,Scarface,1983,https://boxd.it/2b7g,3
2024-09-14,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2024-09-14,Kung Fu Panda,2008,https://boxd.it/1Yws,3.5
2024-09-14,No Country for Old Men,2007,https://boxd.it/21ew,3.5
2024-09-14,The Green Mile,1999,https://boxd.it/2agG,4
2024-09-14,Wild Strawberries,1957,https://boxd.it/29ZU,5
2024-09-15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3
2024-09-15,Parasite,2019,https://boxd.it/hTha,3.5
2024-09-15,Dune,2021,https://boxd.it/fA7G,3
2024-09-15,Grave of the Fireflies,1988,https://boxd.it/1RUM,4.5
2024-09-15,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,2.5
2024-09-15,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2024-09-15,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3
2024-09-15,The Lion King,1994,https://boxd.it/201Q,3
2024-09-15,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3
2024-09-15,Whiplash,2014,https://boxd.it/7bQA,4.5
2024-09-15,Avengers: Infinity War,2018,https://boxd.it/9vEe,2
2024-09-15,Inglourious Basterds,2009,https://boxd.it/1JzG,3
2024-09-15,The Dark Knight Rises,2012,https://boxd.it/H3m,3
2024-09-15,Avengers: Endgame,2019,https://boxd.it/9vE4,2
2024-09-15,Joker,2019,https://boxd.it/h4cS,3.5
2024-09-15,3 Idiots,2009,https://boxd.it/1Dsa,3
2024-09-15,Toy Story 3,2010,https://boxd.it/1WRe,2.5
2024-09-15,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2024-09-15,Jurassic Park,1993,https://boxd.it/2aA2,3
